iteration.end	Min.end	ED50.end	Threshold_RH.end	virulence.end	cadaver_longevity.end	sporu_cada_longevity.end	infected_immigrants.end	LTimmigrants.end	LTAdult.end	LTNymph.end	immunity_cost.end	d_cadaver.sum	density.sum
NA												NA	NA
228	25	801	86	0.395488	81	112	0.362979	71	74	66	0.0538516	3.21061	1757
229	19	780	81	0.799837	104	114	0.20611	45	62	161	0.0618447	3.31308	1058.91
230	24	747	77	0.480088	57	110	0.179327	42	104	80	0.672506	4.20615	1104.22
231	19	775	80	0.452413	55	202	0.181576	76	151	80	0.404922	3.97044	1124.65
232	24	779	82	0.414747	77	49	0.13259	46	146	92	0.299356	1.06452	1493.05
233	14	824	80	0.411774	122	102	0.424765	78	81	125	0.563701	2.26022	1156.05
234	14	796	92	0.26937	65	51	0.30734	39	66	168	0.193495	0.105081	1069.2
235	10	788	71	0.348723	54	63	0.62412	50	176	177	0.292148	1.20778	817.236
236	18	818	94	0.777542	121	204	0.21534	35	85	120	0.586136	6.44812e-5	1388.93
237	26	759	70	0.461739	57	108	0.348483	69	139	82	0.47241	6.03794	1414.55
238	13	807	71	0.716769	83	174	0.407581	96	157	68	0.129134	5.75907	924.784
239	19	830	70	0.298356	86	237	0.401557	81	107	79	0.745027	8.44716	1556.27
240	18	748	79	0.702488	100	191	0.340165	37	69	63	0.374522	9.64239	646.376
241	12	841	82	0.408373	101	126	0.12674	38	63	143	0.675401	1.58172	1178.13
242	17	814	75	0.40677	92	52	0.370655	61	138	140	0.741873	1.33725	1250.69
243	25	748	82	0.742934	95	125	0.437485	76	74	143	0.288664	5.32474	1150.23
244	16	822	82	0.73991	109	91	0.691868	68	63	136	0.226885	1.99848	1229.77
245	17	776	87	0.920247	95	186	0.477828	98	104	143	0.0225007	3.53102	900.968
246	17	802	87	0.717906	92	226	0.328457	30	91	93	0.250004	5.81833	1097.7
247	10	773	71	0.818823	108	41	0.481775	85	72	101	0.517747	1.18838	753.043
248	26	814	72	0.334176	97	60	0.539197	52	100	72	0.236109	2.81078	2146.58
249	20	769	92	0.367088	91	145	0.621778	54	60	173	0.748108	1.00981	1092.17
250	11	792	72	0.329427	54	214	0.173998	83	149	103	0.151502	3.54484	862.957
251	16	792	93	0.936595	84	69	0.484009	72	79	137	0.451742	0.0570597	1157.7
252	26	773	90	0.478532	113	104	0.465713	77	130	73	0.434069	1.37587	1832.99
253	21	751	93	0.471783	104	64	0.388647	54	85	165	0.742761	0.37802	1004.19
254	17	748	72	0.63865	100	207	0.364678	83	84	100	0.0219529	9.01062	691.869
255	20	753	90	0.601856	124	147	0.224995	65	140	106	0.135042	0.844929	1003.32
256	24	805	84	0.80065	103	192	0.698296	31	162	98	0.474398	12.2583	1575
257	11	763	84	0.62469	60	187	0.640861	64	107	96	0.643013	3.09441	756.381
258	19	752	82	0.519189	61	141	0.63009	97	154	81	0.718331	2.91153	939.758
259	13	832	80	0.732883	105	131	0.543925	76	179	161	0.116282	2.8245	1159
260	15	798	80	0.210748	127	126	0.308859	51	85	76	0.491326	3.03004	1055.09
