fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency	BiocontrolSuccess
15	21.1814	781.081	26	0.492204	64.0215	0.221682	84.9563	2.07794	88.327	0.107874	0
24	16.8793	824.985	29	0.21065	97.4788	0.216324	71.9172	2.24191	90.7363	0.2288	0
27	17.7538	845.162	27	0.497024	90.7363	0.0792571	96.8156	2.59368	91.0283	0.337137	0
21	23.0592	823.59	18	0.214279	76.8161	0.0894331	72.2774	2.51218	94.4885	0.271779	0
11	16.102	849.577	22	0.505075	80.6088	0.0913868	93.9967	1.94778	88.9103	0.217052	0
17	13.0913	810.379	29	0.678316	79.2695	0.060023	63.2408	2.07052	88.05	0.157613	0
37	17.5093	764.446	15	0.445093	101.163	0.227408	66.6603	2.63921	88.4535	0.415801	0
9	17.015	804.152	29	0.575459	79.664	0.286796	103.525	2.69705	86.072	0.293923	0
36	16.0601	769.077	25	0.373416	103.688	0.193871	78.6673	2.30397	89.0987	0.375307	0
34	19.392	768.93	26	0.342479	60.761	0.228825	101.978	2.55942	89.6085	0.164122	0
2	16.7423	779.063	25	0.37027	62.7525	0.037478	104.039	2.83898	83.7277	0.2565	0
7	15.9625	820.452	26	0.569786	64.0708	0.0827694	72.5602	1.53396	95.679	0.244305	0
3	23.5818	798.349	24	0.396062	70.8223	0.245006	78.4862	1.56003	85.1543	0.330985	0
33	21.422	828.692	30	0.439614	85.625	0.182187	77.1595	2.01728	89.0633	0.192045	0
40	27.4601	811.501	26	0.6658	59.729	0.168541	62.1246	2.46088	93.9811	0.167221	0
7	19.003	807.616	26	0.543706	74.8958	0.323228	88.9088	1.85634	90.0478	0.205747	0
24	16.985	810.416	24	0.176263	67.6477	0.102875	92.2965	2.45944	83.0323	0.145445	0
29	29.2618	797.355	25	0.442728	75.1944	0.201305	75.718	1.96735	89.3591	0.230243	0
17	18.1683	754.838	29	0.473222	86.2084	0.317231	59.5867	1.59584	90.4716	0.181577	0
37	22.4941	782.048	21	0.417255	84.3596	0.0629299	68.3891	2.09321	87.9687	0.176176	0
34	18.8003	789.633	20	0.256329	74.1407	0.194495	96.1481	1.91785	93.078	0.36692	0
21	10.881	768.553	19	0.15763	52.5729	0.182804	57.8086	1.58932	93.6807	0.298966	0
