Date	I	Tavg	Tmax	Tmin
21/11/2019	195.6354167	28.27118056	38.1	18.9
22/11/2019	185.3159722	27.50138889	38.1	17.2
23/11/2019	199.96875	28.29270833	38.9	17.3
24/11/2019	197.0034722	28.65972222	38.6	18.6
25/11/2019	199.3055556	27.87430556	39.1	17
26/11/2019	193.7743056	28.13333333	38.8	18.9
27/11/2019	195.9479167	28.21145833	38.3	18.6
28/11/2019	198.5069444	28.04895833	37.7	16.9
29/11/2019	200.2013889	27.99305556	36.3	18.3
30/11/2019	186.9270833	27.40486111	35.5	20.3
01/12/2019	185.4791667	27.23020833	35.4	20.6
02/12/2019	138.625	25.63819444	33.5	17.7
03/12/2019	196.25	24.915625	33.8	15.6
04/12/2019	194.7013889	24.27638889	33	13.6
05/12/2019	193.9548611	24.93576389	33.8	15.1
06/12/2019	191.9409722	25.85763889	34.5	18.1
07/12/2019	196.1006944	25.975	34.8	18.6
08/12/2019	186.3298611	24.57395833	34	15.7
09/12/2019	191.2604167	24.490625	34.5	15.4
10/12/2019	200.2083333	24	34	15
11/12/2019	199.4270833	24	33	16
12/12/2019	195.0659722	24.58188153	32.7	16.3
13/12/2019	193.1631944	23.03888889	30.4	18.1
14/12/2019	191.0173611	22.48611111	30.8	14.6
15/12/2019	191.4861111	23.85243056	31.5	17.8
16/12/2019	190.2673611	24.49027778	32.7	16.8
17/12/2019	163.9236111	24.04722222	30.8	17.4
18/12/2019	165.1145833	24.30868056	31.6	18.4
19/12/2019	173.1805556	24.96979167	32.1	18.7
20/12/2019	186.7027972	24.37307692	32	17.2
21/12/2019	194.9928826	24.77117438	33.7	16.3
22/12/2019	195.1263158	24.39157895	33.4	15.4
23/12/2019	198.9151943	23.89964664	31.9	14.5
24/12/2019	196.113879	22.97117438	31	15.6
25/12/2019	199.606383	22.86241135	31.9	13.5
26/12/2019	170.9680851	23.29468085	30.9	16.5
27/12/2019	181.2989324	23.28469751	30.9	17.9
28/12/2019	189.9078014	22.7464539	30.4	15.4
29/12/2019	184.2579505	22.32897527	30	15.3
30/12/2019	192.9892473	21.97921147	29.5	14.3
31/12/2019	199.8162544	21.37773852	29	13.6
